Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9960000000000001,1.0,1.0,0.538,0.5225,0.55
1,1,0.9960000000000001,1.0,1.0,0.535,0.5225,0.54
2,2,0.998,1.0,1.0,0.5290000000000001,0.5125,0.5375000000000001
3,3,0.998,1.0,1.0,0.5269999999999999,0.5025,0.54
4,4,0.9960000000000001,1.0,1.0,0.5270000000000001,0.495,0.545
5,5,0.9960000000000001,1.0,1.0,0.523,0.4925,0.54
6,6,0.9960000000000001,1.0,1.0,0.522,0.485,0.5375000000000001
7,7,0.9960000000000001,1.0,1.0,0.522,0.4875,0.54
8,8,0.9960000000000001,1.0,1.0,0.522,0.48,0.5525
9,9,0.9960000000000001,1.0,1.0,0.522,0.4825,0.5475000000000001
10,10,0.9960000000000001,1.0,1.0,0.5189999999999999,0.4875,0.54
11,11,0.9960000000000001,1.0,1.0,0.52,0.4925,0.5475000000000001
12,12,0.998,1.0,1.0,0.515,0.4825,0.5475000000000001
13,13,0.998,1.0,1.0,0.515,0.485,0.5475000000000001
14,14,0.9960000000000001,1.0,1.0,0.5130000000000001,0.4825,0.5475000000000001
15,15,0.9960000000000001,1.0,1.0,0.5140000000000001,0.49,0.55
16,16,0.998,1.0,1.0,0.5130000000000001,0.4825,0.55
17,17,0.998,1.0,1.0,0.508,0.465,0.5475000000000001
18,18,0.998,1.0,1.0,0.5069999999999999,0.4625,0.5475000000000001
19,19,0.9960000000000001,1.0,1.0,0.5069999999999999,0.47,0.555
20,20,0.9960000000000001,1.0,1.0,0.5039999999999999,0.47,0.5375000000000001
21,21,0.998,1.0,1.0,0.5029999999999999,0.47,0.5375000000000001
22,22,1.0,1.0,1.0,0.506,0.4725,0.5375000000000001
23,23,0.998,1.0,1.0,0.506,0.4725,0.5375000000000001
24,24,0.998,1.0,1.0,0.506,0.47,0.5525
25,25,0.998,1.0,1.0,0.502,0.47,0.55
26,26,0.998,1.0,1.0,0.4999999999999999,0.47,0.5425
27,27,0.998,1.0,1.0,0.499,0.4625,0.55
28,28,0.998,1.0,1.0,0.5029999999999999,0.4725,0.5575
29,29,0.9960000000000001,1.0,1.0,0.5039999999999999,0.4725,0.5549999999999999
30,30,0.9960000000000001,1.0,1.0,0.5,0.4625,0.55
31,31,0.9960000000000001,1.0,1.0,0.5,0.4625,0.55
32,32,0.9960000000000001,1.0,1.0,0.499,0.465,0.5475000000000001
33,33,0.9960000000000001,1.0,1.0,0.499,0.4725,0.54
34,34,0.9960000000000001,1.0,1.0,0.5,0.47,0.54
35,35,0.9960000000000001,1.0,1.0,0.501,0.4725,0.5375000000000001
36,36,0.9960000000000001,1.0,1.0,0.5,0.4725,0.5375000000000001
37,37,0.9960000000000001,1.0,1.0,0.496,0.47,0.53
38,38,0.9960000000000001,1.0,1.0,0.499,0.4725,0.54
39,39,0.9960000000000001,1.0,1.0,0.5010000000000001,0.4725,0.5375000000000001
40,40,0.9960000000000001,1.0,1.0,0.499,0.47,0.5375000000000001
41,41,0.9960000000000001,1.0,1.0,0.501,0.4725,0.5325
42,42,0.9960000000000001,1.0,1.0,0.501,0.47,0.5325
43,43,0.9960000000000001,1.0,1.0,0.501,0.4725,0.53
44,44,0.9960000000000001,1.0,1.0,0.5,0.465,0.53
45,45,0.9960000000000001,1.0,1.0,0.499,0.465,0.53
46,46,0.998,1.0,1.0,0.5,0.4725,0.5375000000000001
47,47,0.9960000000000001,1.0,1.0,0.49700000000000005,0.465,0.5425
48,48,0.998,1.0,1.0,0.4960000000000001,0.465,0.535
49,49,1.0,1.0,1.0,0.497,0.475,0.5375000000000001
50,50,0.998,1.0,1.0,0.496,0.4675,0.535
51,51,0.998,1.0,1.0,0.49800000000000005,0.4675,0.5375000000000001
52,52,0.998,1.0,1.0,0.49800000000000005,0.46,0.54
53,53,0.998,1.0,1.0,0.49700000000000005,0.4525,0.5475000000000001
54,54,0.998,1.0,1.0,0.49700000000000005,0.4525,0.5475000000000001
