Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.954,0.96,0.975,0.534,0.5125,0.57
1,1,0.9489999999999998,0.9375,0.975,0.525,0.495,0.5625
2,2,0.9490000000000002,0.96,0.975,0.5269999999999999,0.5025,0.57
3,3,0.9570000000000001,0.96,0.975,0.518,0.4975,0.5475000000000001
4,4,0.9489999999999998,0.9375,0.96,0.515,0.48,0.5525
5,5,0.961,0.96,0.98,0.508,0.485,0.55
6,6,0.9529999999999997,0.9375,0.96,0.506,0.4625,0.5525
7,7,0.9469999999999998,0.9375,0.96,0.503,0.4625,0.5425
8,8,0.9440000000000002,0.93,0.96,0.4990000000000001,0.46,0.535
9,9,0.9460000000000001,0.93,0.96,0.502,0.47000000000000003,0.53
10,10,0.954,0.96,0.96,0.505,0.47000000000000003,0.53
11,11,0.959,0.96,0.975,0.5040000000000001,0.47000000000000003,0.5375000000000001
12,12,0.959,0.96,0.975,0.506,0.47250000000000003,0.5375000000000001
13,13,0.958,0.96,0.975,0.506,0.47250000000000003,0.5375000000000001
14,14,0.961,0.9375,0.98,0.507,0.47000000000000003,0.5475000000000001
15,15,0.9569999999999999,0.9375,0.975,0.5050000000000001,0.47000000000000003,0.54
16,16,0.953,0.9375,0.96,0.506,0.47250000000000003,0.5475000000000001
17,17,0.959,0.9375,0.98,0.502,0.455,0.5475000000000001
18,18,0.9550000000000001,0.9375,0.975,0.5050000000000001,0.4675,0.555
19,19,0.96,0.96,0.975,0.507,0.4675,0.5625
20,20,0.954,0.93,0.975,0.503,0.46,0.555
21,21,0.9570000000000001,0.9375,0.975,0.5010000000000001,0.4575,0.555
22,22,0.9529999999999997,0.9375,0.96,0.506,0.465,0.555
23,23,0.95,0.93,0.96,0.5050000000000001,0.4675,0.555
24,24,0.9530000000000001,0.9375,0.96,0.5030000000000001,0.46,0.555
25,25,0.9530000000000001,0.9375,0.96,0.5030000000000001,0.4675,0.555
26,26,0.9530000000000001,0.9375,0.96,0.499,0.4575,0.5475000000000001
27,27,0.9550000000000001,0.9375,0.96,0.499,0.45,0.5375000000000001
28,28,0.958,0.96,0.96,0.499,0.45,0.54
29,29,0.958,0.96,0.96,0.499,0.455,0.545
30,30,0.958,0.96,0.96,0.49800000000000005,0.455,0.5375000000000001
31,31,0.958,0.96,0.96,0.4950000000000001,0.4525,0.5375000000000001
32,32,0.958,0.96,0.96,0.493,0.4525,0.5375000000000001
33,33,0.9530000000000001,0.9375,0.96,0.495,0.4525,0.5375000000000001
34,34,0.9559999999999998,0.96,0.96,0.497,0.4525,0.54
35,35,0.9610000000000001,0.96,0.96,0.493,0.4525,0.54
36,36,0.9610000000000001,0.96,0.96,0.49400000000000005,0.46,0.5375000000000001
37,37,0.9630000000000001,0.96,0.975,0.497,0.4625,0.5375000000000001
