Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9739999999999999,0.965,0.995,0.526,0.5025,0.555
1,1,0.975,0.965,0.98,0.524,0.485,0.565
2,2,0.9730000000000001,0.965,0.98,0.525,0.4875,0.565
3,3,0.967,0.96,0.975,0.523,0.495,0.5625
4,4,0.966,0.96,0.98,0.5189999999999999,0.4925,0.555
5,5,0.9629999999999999,0.9375,0.98,0.514,0.48,0.5475000000000001
6,6,0.9629999999999999,0.9375,0.98,0.5170000000000001,0.49,0.5475000000000001
7,7,0.9669999999999999,0.9375,0.98,0.516,0.4925,0.54
8,8,0.967,0.9375,0.98,0.5139999999999999,0.5025,0.5375000000000001
9,9,0.969,0.9425,0.98,0.517,0.5,0.54
10,10,0.9630000000000001,0.9375,0.98,0.517,0.5,0.5475000000000001
11,11,0.961,0.9375,0.98,0.513,0.4925,0.5375000000000001
12,12,0.9560000000000001,0.93,0.98,0.512,0.4925,0.545
13,13,0.9560000000000001,0.93,0.98,0.509,0.495,0.55
14,14,0.958,0.93,0.98,0.509,0.495,0.545
15,15,0.9560000000000001,0.93,0.98,0.51,0.495,0.535
16,16,0.9560000000000001,0.93,0.98,0.509,0.4925,0.535
17,17,0.9530000000000001,0.93,0.98,0.509,0.4925,0.5425
18,18,0.9570000000000001,0.9375,0.98,0.509,0.4875,0.55
19,19,0.9570000000000001,0.9375,0.98,0.5069999999999999,0.4875,0.55
20,20,0.9550000000000001,0.9375,0.975,0.508,0.4775,0.55
21,21,0.9550000000000001,0.9375,0.975,0.508,0.475,0.5425
22,22,0.9570000000000001,0.9375,0.975,0.506,0.4775,0.535
23,23,0.9550000000000001,0.9375,0.975,0.506,0.475,0.5325
24,24,0.9560000000000001,0.93,0.975,0.51,0.4775,0.5425
25,25,0.9560000000000001,0.93,0.975,0.5079999999999999,0.4775,0.535
26,26,0.9540000000000001,0.93,0.975,0.505,0.475,0.5325
27,27,0.959,0.9375,0.975,0.506,0.4825,0.5325
28,28,0.9620000000000001,0.96,0.975,0.5030000000000001,0.48,0.53
29,29,0.961,0.9375,0.98,0.501,0.48,0.5225
30,30,0.961,0.9375,0.98,0.502,0.475,0.5225
31,31,0.9629999999999999,0.9375,0.98,0.502,0.4825,0.52
32,32,0.961,0.9375,0.98,0.502,0.4825,0.5225
33,33,0.961,0.9375,0.98,0.499,0.48,0.52
34,34,0.959,0.9375,0.975,0.502,0.48,0.5225
35,35,0.959,0.9375,0.975,0.5029999999999999,0.4825,0.5225
36,36,0.9620000000000001,0.96,0.975,0.5039999999999999,0.4825,0.5175000000000001
37,37,0.959,0.9375,0.98,0.5039999999999999,0.48,0.525
38,38,0.9620000000000001,0.96,0.98,0.4999999999999999,0.4725,0.5175000000000001
39,39,0.959,0.9375,0.98,0.49899999999999994,0.4725,0.525
40,40,0.959,0.9375,0.98,0.49899999999999994,0.4725,0.5175000000000001
41,41,0.961,0.9375,0.98,0.501,0.4725,0.5325
42,42,0.9580000000000002,0.93,0.98,0.504,0.4725,0.5275000000000001
43,43,0.9580000000000002,0.93,0.98,0.502,0.4725,0.5175000000000001
44,44,0.9580000000000002,0.93,0.98,0.5,0.4725,0.5175000000000001
45,45,0.9580000000000002,0.93,0.98,0.502,0.48,0.5175000000000001
46,46,0.9640000000000001,0.96,0.98,0.5030000000000001,0.48,0.5225
47,47,0.966,0.96,0.98,0.501,0.48,0.515
48,48,0.9630000000000001,0.9375,0.98,0.497,0.4725,0.51
49,49,0.966,0.96,0.98,0.501,0.48,0.51
50,50,0.9640000000000001,0.96,0.98,0.5,0.48,0.51
51,51,0.9670000000000002,0.96,0.98,0.501,0.4825,0.51
52,52,0.97,0.96,0.98,0.502,0.4825,0.51
53,53,0.9670000000000002,0.96,0.98,0.499,0.4825,0.5075000000000001
54,54,0.97,0.96,0.98,0.501,0.48,0.51
55,55,0.9710000000000001,0.96,0.98,0.499,0.48,0.51
56,56,0.9710000000000001,0.96,0.98,0.5,0.48,0.5175000000000001
57,57,0.9710000000000001,0.96,0.98,0.5,0.4825,0.51
58,58,0.9710000000000001,0.96,0.98,0.499,0.475,0.51
59,59,0.966,0.96,0.98,0.5010000000000001,0.475,0.5175000000000001
60,60,0.968,0.96,0.98,0.499,0.475,0.52
61,61,0.9709999999999999,0.96,0.98,0.502,0.49,0.52
62,62,0.974,0.96,0.98,0.5000000000000001,0.4825,0.52
63,63,0.974,0.96,0.98,0.501,0.48,0.5275000000000001
64,64,0.9709999999999999,0.96,0.98,0.49700000000000005,0.48,0.5175000000000001
65,65,0.9709999999999999,0.96,0.98,0.495,0.48,0.5175000000000001
66,66,0.968,0.96,0.98,0.496,0.4725,0.5175000000000001
67,67,0.968,0.96,0.98,0.496,0.4725,0.52
68,68,0.968,0.96,0.98,0.495,0.4725,0.5175000000000001
69,69,0.9710000000000001,0.96,0.98,0.49799999999999994,0.4725,0.52
70,70,0.9710000000000001,0.96,0.98,0.49899999999999994,0.4725,0.52
71,71,0.9710000000000001,0.96,0.98,0.499,0.4725,0.52
72,72,0.9710000000000001,0.96,0.98,0.49799999999999994,0.4725,0.525
73,73,0.9690000000000001,0.96,0.98,0.496,0.47,0.5175000000000001
74,74,0.9690000000000001,0.96,0.98,0.49800000000000005,0.47,0.52
75,75,0.9710000000000001,0.96,0.98,0.499,0.4725,0.5275000000000001
76,76,0.9710000000000001,0.96,0.98,0.502,0.48,0.5275000000000001
77,77,0.9710000000000001,0.96,0.98,0.502,0.48,0.53
78,78,0.9710000000000001,0.965,0.98,0.5050000000000001,0.48,0.5275000000000001
79,79,0.9710000000000001,0.965,0.98,0.508,0.49,0.53
80,80,0.9710000000000001,0.965,0.98,0.506,0.49,0.5275000000000001
81,81,0.9730000000000001,0.965,0.98,0.507,0.49,0.53
82,82,0.975,0.98,0.98,0.507,0.4925,0.535
83,83,0.9730000000000001,0.98,0.98,0.507,0.4925,0.535
84,84,0.9730000000000001,0.98,0.98,0.507,0.4925,0.5275000000000001
85,85,0.9710000000000001,0.965,0.98,0.509,0.4925,0.535
86,86,0.9710000000000001,0.965,0.98,0.509,0.4925,0.535
87,87,0.9710000000000001,0.965,0.98,0.506,0.49,0.5275000000000001
88,88,0.9730000000000001,0.965,0.98,0.506,0.5,0.5275000000000001
89,89,0.9730000000000001,0.965,0.98,0.509,0.495,0.535
90,90,0.9720000000000001,0.98,0.98,0.509,0.5,0.535
91,91,0.9720000000000001,0.98,0.98,0.5110000000000001,0.495,0.535
92,92,0.9720000000000001,0.98,0.98,0.509,0.4925,0.5275000000000001
93,93,0.9700000000000001,0.965,0.98,0.5100000000000001,0.4925,0.5275000000000001
94,94,0.9720000000000001,0.98,0.98,0.509,0.4925,0.5275000000000001
95,95,0.97,0.965,0.98,0.509,0.485,0.5275000000000001
96,96,0.97,0.965,0.98,0.5129999999999999,0.4875,0.5275000000000001
97,97,0.97,0.965,0.98,0.5109999999999999,0.4875,0.5275000000000001
98,98,0.97,0.965,0.98,0.5119999999999999,0.4875,0.5275000000000001
99,99,0.97,0.965,0.98,0.5129999999999999,0.4875,0.5275000000000001
100,100,0.97,0.965,0.98,0.5109999999999999,0.485,0.5275000000000001
101,101,0.968,0.96,0.98,0.5119999999999999,0.485,0.5275000000000001
102,102,0.9650000000000001,0.9375,0.98,0.5109999999999999,0.485,0.52
103,103,0.9650000000000001,0.9375,0.98,0.509,0.485,0.52
104,104,0.968,0.96,0.98,0.509,0.485,0.52
105,105,0.968,0.96,0.98,0.51,0.485,0.52
106,106,0.9710000000000001,0.96,0.98,0.51,0.485,0.5275000000000001
107,107,0.9710000000000001,0.96,0.98,0.5110000000000001,0.4925,0.52
108,108,0.9710000000000001,0.96,0.98,0.5110000000000001,0.49,0.5275000000000001
109,109,0.9710000000000001,0.96,0.98,0.512,0.485,0.5275000000000001
110,110,0.968,0.96,0.98,0.512,0.485,0.5275000000000001
111,111,0.966,0.96,0.98,0.512,0.485,0.5275000000000001
112,112,0.969,0.96,0.98,0.511,0.4825,0.5275000000000001
113,113,0.966,0.96,0.98,0.513,0.4825,0.5375000000000001
114,114,0.969,0.96,0.98,0.514,0.4925,0.5375000000000001
115,115,0.969,0.96,0.98,0.514,0.49,0.5375000000000001
116,116,0.9750000000000002,0.965,0.98,0.516,0.4925,0.54
117,117,0.9750000000000002,0.965,0.98,0.513,0.485,0.54
118,118,0.9750000000000002,0.965,0.98,0.516,0.4925,0.5475000000000001
119,119,0.9730000000000001,0.96,0.98,0.513,0.49,0.54
120,120,0.9770000000000001,0.98,0.98,0.511,0.4825,0.54
121,121,0.9770000000000001,0.98,0.98,0.513,0.4825,0.54
122,122,0.9770000000000001,0.98,0.98,0.5149999999999999,0.49,0.54
123,123,0.9750000000000002,0.965,0.98,0.51,0.4825,0.535
124,124,0.976,0.96,0.98,0.513,0.4825,0.535
125,125,0.9780000000000001,0.965,0.98,0.513,0.4825,0.535
126,126,0.9780000000000001,0.965,0.98,0.513,0.4825,0.535
127,127,0.9750000000000002,0.965,0.98,0.513,0.4825,0.535
128,128,0.9750000000000002,0.965,0.98,0.512,0.4825,0.535
129,129,0.9750000000000002,0.965,0.98,0.513,0.4825,0.535
130,130,0.9750000000000002,0.965,0.98,0.513,0.485,0.535
131,131,0.9750000000000002,0.965,0.98,0.512,0.485,0.5275000000000001
132,132,0.9750000000000002,0.965,0.98,0.513,0.485,0.5275000000000001
133,133,0.9750000000000002,0.965,0.98,0.515,0.4925,0.535
134,134,0.9750000000000002,0.965,0.98,0.512,0.4925,0.5275000000000001
135,135,0.9730000000000001,0.96,0.98,0.512,0.4925,0.535
136,136,0.9750000000000002,0.965,0.98,0.511,0.4925,0.5275000000000001
137,137,0.9750000000000002,0.965,0.98,0.511,0.4925,0.5275000000000001
138,138,0.9730000000000001,0.96,0.98,0.511,0.4925,0.5275000000000001
139,139,0.9750000000000002,0.965,0.98,0.5120000000000001,0.4925,0.53
140,140,0.9750000000000002,0.965,0.98,0.511,0.4925,0.53
141,141,0.9750000000000002,0.965,0.98,0.5090000000000001,0.4925,0.53
142,142,0.9750000000000002,0.965,0.98,0.5080000000000001,0.4925,0.53
143,143,0.9750000000000002,0.965,0.98,0.51,0.5,0.53
144,144,0.9750000000000002,0.965,0.98,0.5090000000000001,0.4925,0.53
145,145,0.9750000000000002,0.965,0.98,0.5080000000000001,0.4925,0.53
146,146,0.9750000000000002,0.965,0.98,0.5070000000000001,0.4925,0.53
147,147,0.9750000000000002,0.965,0.98,0.506,0.4925,0.5275000000000001
148,148,0.9750000000000002,0.965,0.98,0.506,0.4925,0.5275000000000001
149,149,0.9750000000000002,0.965,0.98,0.506,0.4925,0.52
150,150,0.9750000000000002,0.965,0.98,0.507,0.4925,0.52
151,151,0.976,0.96,0.98,0.508,0.4925,0.52
152,152,0.976,0.96,0.98,0.506,0.4925,0.5175000000000001
153,153,0.976,0.96,0.98,0.508,0.4925,0.525
154,154,0.976,0.96,0.98,0.508,0.4925,0.525
155,155,0.9730000000000001,0.96,0.98,0.506,0.4925,0.5175000000000001
156,156,0.976,0.96,0.98,0.506,0.4925,0.5175000000000001
157,157,0.9730000000000001,0.96,0.98,0.5050000000000001,0.4925,0.5175000000000001
158,158,0.976,0.96,0.98,0.506,0.4925,0.525
159,159,0.976,0.96,0.98,0.508,0.4925,0.525
160,160,0.9780000000000001,0.965,0.98,0.506,0.4925,0.525
161,161,0.9780000000000001,0.965,0.98,0.508,0.4925,0.525
162,162,0.9780000000000001,0.965,0.98,0.506,0.4925,0.525
163,163,0.9780000000000001,0.965,0.98,0.509,0.4925,0.525
164,164,0.9780000000000001,0.965,0.98,0.506,0.4925,0.525
165,165,0.9780000000000001,0.965,0.98,0.506,0.4925,0.5175000000000001
166,166,0.9780000000000001,0.965,0.98,0.506,0.4925,0.5175000000000001
167,167,0.9780000000000001,0.965,0.98,0.5040000000000001,0.4925,0.5175000000000001
168,168,0.9780000000000001,0.965,0.98,0.5040000000000001,0.4925,0.5175000000000001
169,169,0.9780000000000001,0.965,0.98,0.5040000000000001,0.4925,0.5175000000000001
170,170,0.9780000000000001,0.965,0.98,0.5050000000000001,0.4925,0.5175000000000001
171,171,0.9780000000000001,0.965,0.98,0.506,0.4925,0.5175000000000001
172,172,0.9750000000000002,0.965,0.98,0.506,0.4925,0.5175000000000001
173,173,0.976,0.96,0.98,0.504,0.485,0.5175000000000001
174,174,0.9780000000000001,0.965,0.98,0.5040000000000001,0.4925,0.5175000000000001
175,175,0.9750000000000002,0.965,0.98,0.5050000000000001,0.5,0.5175000000000001
176,176,0.9750000000000002,0.965,0.98,0.5050000000000001,0.4925,0.5175000000000001
177,177,0.9750000000000002,0.965,0.98,0.502,0.4925,0.5175000000000001
178,178,0.9780000000000001,0.965,0.98,0.502,0.4925,0.5175000000000001
179,179,0.9780000000000001,0.965,0.98,0.502,0.4925,0.5175000000000001
180,180,0.9730000000000001,0.96,0.98,0.499,0.49,0.51
181,181,0.9730000000000001,0.96,0.98,0.5,0.49,0.51
182,182,0.9730000000000001,0.96,0.98,0.501,0.49,0.51
183,183,0.9730000000000001,0.96,0.98,0.502,0.4925,0.51
184,184,0.9730000000000001,0.96,0.98,0.503,0.4925,0.51
185,185,0.9730000000000001,0.96,0.98,0.505,0.49,0.5175000000000001
186,186,0.9730000000000001,0.96,0.98,0.501,0.4825,0.5175000000000001
187,187,0.9750000000000002,0.965,0.98,0.503,0.4825,0.51
188,188,0.9750000000000002,0.965,0.98,0.5029999999999999,0.49,0.5175000000000001
189,189,0.9750000000000002,0.965,0.98,0.502,0.49,0.5175000000000001
190,190,0.9770000000000001,0.965,0.995,0.5050000000000001,0.4925,0.5175000000000001
191,191,0.9770000000000001,0.965,0.995,0.5039999999999999,0.4925,0.5175000000000001
192,192,0.9770000000000001,0.965,0.995,0.5039999999999999,0.4925,0.5175000000000001
193,193,0.9770000000000001,0.965,0.995,0.5050000000000001,0.485,0.52
194,194,0.9780000000000001,0.965,0.98,0.506,0.4925,0.52
195,195,0.9780000000000001,0.965,0.98,0.5050000000000001,0.4925,0.5175000000000001
196,196,0.9770000000000001,0.98,0.98,0.508,0.4925,0.5275000000000001
197,197,0.9770000000000001,0.98,0.98,0.508,0.4925,0.5275000000000001
198,198,0.9770000000000001,0.98,0.98,0.507,0.485,0.5275000000000001
199,199,0.9780000000000001,0.965,0.98,0.508,0.4925,0.5275000000000001
200,200,0.9780000000000001,0.965,0.98,0.508,0.4925,0.5275000000000001
201,201,0.9780000000000001,0.965,0.98,0.51,0.4925,0.5275000000000001
202,202,0.9780000000000001,0.965,0.98,0.51,0.4925,0.5275000000000001
203,203,0.9780000000000001,0.965,0.98,0.508,0.4925,0.5175000000000001
204,204,0.9780000000000001,0.965,0.98,0.508,0.4925,0.525
205,205,0.9780000000000001,0.965,0.98,0.5069999999999999,0.4925,0.5175000000000001
206,206,0.9780000000000001,0.965,0.98,0.506,0.485,0.5175000000000001
207,207,0.9780000000000001,0.965,0.98,0.5089999999999999,0.485,0.5175000000000001
208,208,0.9780000000000001,0.965,0.98,0.5079999999999999,0.485,0.5175000000000001
209,209,0.9760000000000002,0.96,0.98,0.511,0.4925,0.52
210,210,0.9780000000000001,0.96,0.995,0.51,0.4925,0.5175000000000001
211,211,0.9780000000000001,0.96,0.995,0.511,0.49,0.52
212,212,0.9800000000000001,0.965,0.995,0.511,0.4925,0.52
213,213,0.9800000000000001,0.965,0.995,0.512,0.4925,0.52
214,214,0.982,0.98,0.995,0.51,0.5,0.52
215,215,0.984,0.98,1.0,0.51,0.5,0.52
216,216,0.984,0.98,1.0,0.5090000000000001,0.5,0.5175000000000001
217,217,0.984,0.98,1.0,0.508,0.5,0.5175000000000001
218,218,0.986,0.98,1.0,0.509,0.5,0.5175000000000001
219,219,0.984,0.98,0.995,0.511,0.4925,0.52
220,220,0.984,0.98,0.995,0.511,0.5025,0.52
221,221,0.984,0.98,0.995,0.511,0.5025,0.5175000000000001
222,222,0.984,0.98,0.995,0.511,0.5025,0.5175000000000001
223,223,0.984,0.98,0.995,0.511,0.5025,0.5175000000000001
224,224,0.984,0.98,0.995,0.513,0.5025,0.52
225,225,0.984,0.98,0.995,0.512,0.5025,0.5175000000000001
226,226,0.984,0.98,0.995,0.51,0.5025,0.51
227,227,0.984,0.98,0.995,0.511,0.5025,0.5175000000000001
228,228,0.984,0.98,0.995,0.511,0.5025,0.5175000000000001
229,229,0.984,0.98,0.995,0.511,0.5025,0.51
230,230,0.984,0.98,0.995,0.513,0.5025,0.5275000000000001
231,231,0.984,0.98,0.995,0.512,0.5,0.525
232,232,0.984,0.98,0.995,0.513,0.5025,0.525
233,233,0.984,0.98,0.995,0.514,0.5025,0.525
234,234,0.984,0.98,0.995,0.512,0.5,0.525
235,235,0.984,0.98,0.995,0.512,0.5,0.525
236,236,0.984,0.98,0.995,0.513,0.5025,0.525
237,237,0.984,0.98,0.995,0.511,0.5,0.525
238,238,0.984,0.98,0.995,0.514,0.5025,0.525
239,239,0.984,0.98,0.995,0.512,0.5025,0.525
240,240,0.984,0.98,0.995,0.513,0.51,0.525
241,241,0.984,0.98,0.995,0.512,0.5025,0.525
242,242,0.984,0.98,0.995,0.51,0.5,0.525
243,243,0.984,0.98,0.995,0.511,0.5025,0.525
244,244,0.984,0.98,0.995,0.5090000000000001,0.5,0.525
245,245,0.984,0.98,0.995,0.511,0.495,0.5275000000000001
246,246,0.984,0.98,0.995,0.511,0.495,0.525
247,247,0.984,0.98,0.995,0.5090000000000001,0.495,0.525
248,248,0.9860000000000001,0.98,0.995,0.507,0.4925,0.525
249,249,0.984,0.98,0.995,0.507,0.4925,0.525
250,250,0.984,0.98,0.995,0.507,0.4925,0.525
251,251,0.984,0.98,0.995,0.506,0.4925,0.525
252,252,0.984,0.98,0.995,0.507,0.5,0.525
253,253,0.984,0.98,0.995,0.509,0.5,0.5275000000000001
254,254,0.984,0.98,0.995,0.507,0.4925,0.5275000000000001
255,255,0.986,0.98,1.0,0.509,0.4925,0.5275000000000001
256,256,0.986,0.98,1.0,0.508,0.4925,0.5275000000000001
257,257,0.986,0.98,1.0,0.508,0.4925,0.5275000000000001
258,258,0.986,0.98,1.0,0.508,0.4925,0.5275000000000001
259,259,0.986,0.98,1.0,0.506,0.49,0.5275000000000001
260,260,0.984,0.98,0.995,0.508,0.4925,0.5275000000000001
261,261,0.984,0.98,0.995,0.509,0.5,0.5275000000000001
262,262,0.984,0.98,0.995,0.508,0.4925,0.5275000000000001
263,263,0.984,0.98,0.995,0.507,0.49,0.5275000000000001
264,264,0.984,0.98,0.995,0.509,0.4925,0.53
265,265,0.984,0.98,0.995,0.508,0.49,0.53
266,266,0.984,0.98,0.995,0.509,0.4925,0.53
267,267,0.984,0.98,0.995,0.509,0.49,0.53
268,268,0.984,0.98,0.995,0.508,0.49,0.53
269,269,0.984,0.98,0.995,0.509,0.49,0.53
270,270,0.984,0.98,0.995,0.507,0.49,0.53
271,271,0.984,0.98,0.995,0.508,0.49,0.53
272,272,0.984,0.98,0.995,0.508,0.49,0.53
273,273,0.984,0.98,0.995,0.507,0.49,0.53
274,274,0.986,0.98,1.0,0.5050000000000001,0.49,0.5275000000000001
275,275,0.986,0.98,1.0,0.508,0.49,0.53
276,276,0.986,0.98,1.0,0.5080000000000001,0.49,0.53
277,277,0.986,0.98,1.0,0.507,0.49,0.53
278,278,0.986,0.98,1.0,0.508,0.4925,0.53
279,279,0.986,0.98,1.0,0.508,0.4925,0.53
280,280,0.986,0.98,1.0,0.507,0.49,0.53
281,281,0.986,0.98,1.0,0.5080000000000001,0.49,0.53
282,282,0.986,0.98,1.0,0.5090000000000001,0.5,0.53
283,283,0.986,0.98,1.0,0.505,0.4925,0.5275000000000001
284,284,0.986,0.98,1.0,0.507,0.4925,0.53
285,285,0.986,0.98,1.0,0.507,0.4925,0.53
286,286,0.984,0.98,1.0,0.5070000000000001,0.49,0.53
287,287,0.984,0.98,1.0,0.5090000000000001,0.4925,0.53
288,288,0.984,0.98,1.0,0.5070000000000001,0.4925,0.5275000000000001
289,289,0.984,0.98,1.0,0.5070000000000001,0.4925,0.5275000000000001
290,290,0.984,0.98,1.0,0.506,0.4925,0.5275000000000001
291,291,0.984,0.98,1.0,0.5080000000000001,0.4925,0.5275000000000001
292,292,0.984,0.98,1.0,0.5070000000000001,0.4925,0.5275000000000001
293,293,0.984,0.98,1.0,0.5070000000000001,0.4925,0.5275000000000001
294,294,0.984,0.98,1.0,0.5070000000000001,0.4925,0.5275000000000001
295,295,0.984,0.98,1.0,0.5080000000000001,0.4925,0.5275000000000001
296,296,0.984,0.98,1.0,0.5080000000000001,0.4925,0.5275000000000001
297,297,0.984,0.98,1.0,0.5080000000000001,0.4925,0.5275000000000001
298,298,0.984,0.98,1.0,0.51,0.4925,0.5275000000000001
299,299,0.984,0.98,1.0,0.51,0.5,0.5275000000000001
300,300,0.984,0.98,1.0,0.507,0.4925,0.52
301,301,0.984,0.98,1.0,0.5090000000000001,0.5,0.5275000000000001
302,302,0.984,0.98,1.0,0.509,0.5,0.5275000000000001
303,303,0.984,0.98,1.0,0.51,0.5,0.5275000000000001
