Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.99,0.9824999999999999,0.9975,0.461,0.435,0.48
1,1,0.9890000000000001,0.9824999999999999,0.99,0.45199999999999996,0.4325,0.4775
2,2,0.9870000000000001,0.98,0.99,0.44299999999999995,0.43,0.475
3,3,0.9880000000000001,0.98,0.99,0.44000000000000006,0.415,0.46499999999999997
4,4,0.991,0.99,0.9975,0.446,0.4425,0.45
5,5,0.9890000000000001,0.9824999999999999,0.99,0.438,0.43,0.455
6,6,0.9880000000000001,0.98,0.99,0.433,0.41,0.47
7,7,0.9890000000000001,0.9824999999999999,0.99,0.43699999999999994,0.4225,0.46249999999999997
8,8,0.9880000000000001,0.98,0.99,0.43500000000000005,0.41,0.46749999999999997
9,9,0.9890000000000001,0.9824999999999999,0.99,0.43200000000000005,0.405,0.46249999999999997
10,10,0.9880000000000001,0.9824999999999999,0.99,0.43200000000000005,0.4125,0.455
11,11,0.9890000000000001,0.9824999999999999,0.99,0.42699999999999994,0.4025,0.4575
12,12,0.9890000000000001,0.99,0.99,0.426,0.4025,0.46249999999999997
13,13,0.99,0.99,0.99,0.41899999999999993,0.4,0.45999999999999996
14,14,0.9890000000000001,0.99,0.99,0.41400000000000003,0.39,0.455
15,15,0.9880000000000001,0.9824999999999999,0.99,0.4130000000000001,0.38250000000000006,0.455
16,16,0.991,0.99,0.99,0.41600000000000004,0.38,0.455
17,17,0.991,0.99,0.99,0.41400000000000003,0.37,0.4475
18,18,0.9890000000000001,0.99,0.99,0.41400000000000003,0.37,0.4575
19,19,0.99,0.99,0.99,0.4130000000000001,0.37,0.4575
20,20,0.9890000000000001,0.99,0.99,0.41000000000000003,0.37,0.4475
21,21,0.9869999999999999,0.9824999999999999,0.99,0.40700000000000003,0.36,0.445
22,22,0.9869999999999999,0.9824999999999999,0.99,0.4039999999999999,0.37,0.4375
23,23,0.9869999999999999,0.9824999999999999,0.99,0.39899999999999997,0.36,0.4375
24,24,0.9869999999999999,0.9824999999999999,0.99,0.40099999999999997,0.36250000000000004,0.45
25,25,0.9869999999999999,0.9824999999999999,0.99,0.40199999999999997,0.36,0.45
26,26,0.9869999999999999,0.9824999999999999,0.99,0.4,0.36250000000000004,0.445
27,27,0.9869999999999999,0.9824999999999999,0.99,0.404,0.37249999999999994,0.4375
28,28,0.9880000000000001,0.99,0.99,0.403,0.38,0.4375
29,29,0.9880000000000001,0.99,0.99,0.402,0.38,0.435
30,30,0.9890000000000001,0.99,0.99,0.4029999999999999,0.38,0.4275
31,31,0.9890000000000001,0.99,0.99,0.403,0.37249999999999994,0.43
32,32,0.9880000000000001,0.9824999999999999,0.99,0.4,0.365,0.4275
33,33,0.9880000000000001,0.9824999999999999,0.99,0.40099999999999997,0.37249999999999994,0.4275
34,34,0.9880000000000001,0.9824999999999999,0.99,0.398,0.37249999999999994,0.4275
35,35,0.9880000000000001,0.9824999999999999,0.99,0.39499999999999996,0.36250000000000004,0.4275
36,36,0.9880000000000001,0.9824999999999999,0.99,0.396,0.37,0.425
37,37,0.9880000000000001,0.9824999999999999,0.99,0.398,0.37,0.4275
38,38,0.9880000000000001,0.9824999999999999,0.99,0.397,0.37,0.4275
39,39,0.9880000000000001,0.9824999999999999,0.99,0.394,0.37,0.425
40,40,0.9880000000000001,0.9824999999999999,0.99,0.395,0.37,0.425
