Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9780000000000001,0.9725,0.98,0.20599999999999996,0.18,0.2275
1,1,0.9780000000000001,0.9725,0.98,0.19799999999999998,0.1725,0.2175
2,2,0.9780000000000001,0.9725,0.98,0.19899999999999998,0.18,0.22
3,3,0.9780000000000001,0.9725,0.98,0.19299999999999998,0.175,0.21
4,4,0.9780000000000001,0.97,0.995,0.19399999999999998,0.175,0.21500000000000002
5,5,0.9780000000000001,0.97,0.995,0.19499999999999998,0.1825,0.21500000000000002
6,6,0.9780000000000001,0.97,0.995,0.18999999999999997,0.175,0.2
7,7,0.9760000000000002,0.97,0.98,0.18799999999999997,0.1725,0.20500000000000002
8,8,0.974,0.97,0.98,0.18599999999999997,0.1725,0.20500000000000002
9,9,0.9710000000000001,0.9549999999999998,0.98,0.18299999999999997,0.1725,0.1975
10,10,0.9730000000000001,0.97,0.98,0.18,0.16499999999999998,0.19
11,11,0.9730000000000001,0.97,0.98,0.176,0.16499999999999998,0.18
12,12,0.9710000000000001,0.9549999999999998,0.98,0.174,0.1625,0.1875
13,13,0.9710000000000001,0.9549999999999998,0.98,0.173,0.1625,0.1875
14,14,0.975,0.97,0.98,0.16899999999999998,0.1625,0.18
15,15,0.978,0.97,0.98,0.16799999999999998,0.1525,0.17750000000000002
16,16,0.978,0.97,0.98,0.16699999999999998,0.16,0.17
17,17,0.978,0.97,0.98,0.16699999999999998,0.1525,0.17750000000000002
18,18,0.975,0.97,0.98,0.16499999999999998,0.1525,0.17750000000000002
19,19,0.976,0.97,0.98,0.16299999999999998,0.15,0.17750000000000002
20,20,0.974,0.97,0.98,0.16299999999999998,0.15,0.17750000000000002
21,21,0.974,0.97,0.98,0.16199999999999998,0.15,0.17750000000000002
22,22,0.975,0.97,0.98,0.16199999999999998,0.15,0.17750000000000002
23,23,0.976,0.97,0.98,0.16199999999999998,0.15,0.17
24,24,0.975,0.97,0.98,0.15899999999999997,0.14,0.17
25,25,0.9730000000000001,0.97,0.98,0.15899999999999997,0.14250000000000002,0.17
26,26,0.9730000000000001,0.97,0.98,0.156,0.14,0.17
27,27,0.9720000000000001,0.97,0.98,0.15299999999999997,0.1325,0.17
28,28,0.975,0.97,0.98,0.15299999999999997,0.1325,0.17
29,29,0.975,0.97,0.98,0.152,0.14,0.1675
30,30,0.975,0.97,0.98,0.151,0.1325,0.16
31,31,0.9700000000000001,0.97,0.98,0.151,0.1325,0.16
32,32,0.968,0.9549999999999998,0.98,0.153,0.14,0.1675
33,33,0.97,0.9549999999999998,0.98,0.151,0.14,0.16
34,34,0.9730000000000001,0.97,0.98,0.149,0.14,0.1575
35,35,0.9690000000000001,0.9549999999999998,0.98,0.147,0.14,0.1575
36,36,0.9659999999999999,0.95,0.98,0.147,0.14,0.1575
37,37,0.966,0.95,0.98,0.147,0.14,0.1575
38,38,0.966,0.95,0.98,0.147,0.14,0.1575
39,39,0.966,0.95,0.98,0.14799999999999996,0.14,0.1575
40,40,0.97,0.9549999999999998,0.98,0.146,0.14,0.15
41,41,0.9709999999999999,0.9549999999999998,0.98,0.146,0.14,0.15
42,42,0.969,0.9549999999999998,0.98,0.146,0.14,0.15
43,43,0.9709999999999999,0.97,0.98,0.14500000000000002,0.14,0.15
44,44,0.9719999999999999,0.97,0.98,0.14499999999999996,0.1325,0.15
45,45,0.9719999999999999,0.97,0.98,0.144,0.1325,0.15
46,46,0.968,0.9549999999999998,0.98,0.144,0.13,0.1575
47,47,0.967,0.95,0.98,0.144,0.13,0.1575
48,48,0.967,0.95,0.98,0.14300000000000002,0.1325,0.1575
49,49,0.968,0.95,0.98,0.14400000000000004,0.1325,0.1575
50,50,0.97,0.9549999999999998,0.98,0.14300000000000002,0.1325,0.1575
51,51,0.97,0.9549999999999998,0.98,0.142,0.1325,0.1575
52,52,0.97,0.9549999999999998,0.98,0.14300000000000002,0.14,0.1575
53,53,0.968,0.95,0.98,0.14100000000000001,0.13,0.1575
54,54,0.966,0.95,0.98,0.142,0.1325,0.1575
55,55,0.968,0.95,0.98,0.14300000000000002,0.1325,0.1575
56,56,0.966,0.95,0.98,0.14300000000000002,0.1325,0.1575
57,57,0.968,0.95,0.98,0.14500000000000002,0.1325,0.1575
58,58,0.9650000000000001,0.95,0.9775,0.14100000000000001,0.13,0.15
