Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,1.0,1.0,1.0,0.5170000000000001,0.5025,0.545
1,1,1.0,1.0,1.0,0.514,0.5,0.545
2,2,1.0,1.0,1.0,0.5189999999999999,0.5025,0.545
3,3,1.0,1.0,1.0,0.5199999999999999,0.5025,0.545
4,4,1.0,1.0,1.0,0.5189999999999999,0.5025,0.5375000000000001
5,5,1.0,1.0,1.0,0.518,0.495,0.5375000000000001
6,6,1.0,1.0,1.0,0.516,0.4925,0.5375000000000001
7,7,1.0,1.0,1.0,0.5170000000000001,0.4925,0.545
8,8,1.0,1.0,1.0,0.515,0.4925,0.5375000000000001
9,9,1.0,1.0,1.0,0.516,0.4925,0.54
10,10,1.0,1.0,1.0,0.515,0.4925,0.5375000000000001
11,11,1.0,1.0,1.0,0.517,0.4825,0.54
12,12,1.0,1.0,1.0,0.515,0.4925,0.5375000000000001
13,13,1.0,1.0,1.0,0.519,0.495,0.5375000000000001
14,14,1.0,1.0,1.0,0.518,0.4875,0.545
15,15,1.0,1.0,1.0,0.517,0.4875,0.545
16,16,1.0,1.0,1.0,0.513,0.4875,0.535
17,17,1.0,1.0,1.0,0.516,0.5025,0.545
18,18,1.0,1.0,1.0,0.516,0.5025,0.5375000000000001
19,19,1.0,1.0,1.0,0.514,0.5025,0.535
20,20,1.0,1.0,1.0,0.513,0.5,0.5425
21,21,1.0,1.0,1.0,0.513,0.51,0.5425
22,22,1.0,1.0,1.0,0.512,0.51,0.535
23,23,1.0,1.0,1.0,0.513,0.51,0.5375000000000001
24,24,1.0,1.0,1.0,0.513,0.51,0.545
25,25,1.0,1.0,1.0,0.5129999999999999,0.51,0.5425
26,26,1.0,1.0,1.0,0.5109999999999999,0.51,0.535
27,27,1.0,1.0,1.0,0.514,0.51,0.54
28,28,1.0,1.0,1.0,0.5130000000000001,0.5025,0.54
29,29,1.0,1.0,1.0,0.514,0.5,0.5475000000000001
30,30,1.0,1.0,1.0,0.509,0.5,0.545
31,31,1.0,1.0,1.0,0.509,0.5,0.545
32,32,1.0,1.0,1.0,0.51,0.49,0.545
33,33,1.0,1.0,1.0,0.509,0.4825,0.5475000000000001
34,34,1.0,1.0,1.0,0.509,0.48,0.5475000000000001
35,35,1.0,1.0,1.0,0.509,0.4825,0.5475000000000001
36,36,1.0,1.0,1.0,0.507,0.4725,0.54
37,37,1.0,1.0,1.0,0.5050000000000001,0.4725,0.5375000000000001
38,38,1.0,1.0,1.0,0.508,0.475,0.54
39,39,1.0,1.0,1.0,0.507,0.475,0.5375000000000001
40,40,1.0,1.0,1.0,0.506,0.4725,0.53
41,41,1.0,1.0,1.0,0.507,0.475,0.54
42,42,1.0,1.0,1.0,0.509,0.4825,0.5375000000000001
43,43,1.0,1.0,1.0,0.509,0.4825,0.5375000000000001
44,44,1.0,1.0,1.0,0.5119999999999999,0.4825,0.5475000000000001
45,45,1.0,1.0,1.0,0.51,0.4825,0.545
46,46,1.0,1.0,1.0,0.5120000000000001,0.4825,0.5475000000000001
47,47,1.0,1.0,1.0,0.5109999999999999,0.48,0.5475000000000001
48,48,1.0,1.0,1.0,0.5129999999999999,0.48,0.5475000000000001
49,49,1.0,1.0,1.0,0.5119999999999999,0.4725,0.5475000000000001
50,50,1.0,1.0,1.0,0.5129999999999999,0.4725,0.55
51,51,1.0,1.0,1.0,0.51,0.4725,0.555
