Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9960000000000001,0.99,1.0,0.488,0.4725,0.5175000000000001
1,1,0.998,1.0,1.0,0.4880000000000001,0.4575,0.52
2,2,0.998,1.0,1.0,0.48699999999999993,0.4725,0.52
3,3,0.9970000000000001,0.9924999999999999,1.0,0.48600000000000004,0.4625,0.525
4,4,0.9970000000000001,0.9924999999999999,1.0,0.477,0.4475,0.51
5,5,0.9970000000000001,0.9924999999999999,1.0,0.47800000000000004,0.455,0.505
6,6,0.9970000000000001,0.9924999999999999,1.0,0.476,0.455,0.4975
7,7,0.9970000000000001,0.9924999999999999,1.0,0.47300000000000003,0.4525,0.4975
8,8,0.9960000000000001,0.99,1.0,0.473,0.45,0.495
9,9,0.9950000000000001,0.99,1.0,0.471,0.4525,0.49
10,10,0.9950000000000001,0.99,1.0,0.471,0.4525,0.49
11,11,0.9950000000000001,0.99,1.0,0.471,0.445,0.4975
12,12,0.9960000000000001,0.99,1.0,0.472,0.4525,0.4975
13,13,0.9960000000000001,0.99,1.0,0.472,0.445,0.4975
14,14,0.9950000000000001,0.99,1.0,0.47000000000000003,0.4425,0.505
15,15,0.9950000000000001,0.99,1.0,0.472,0.4425,0.505
16,16,0.9940000000000001,0.99,1.0,0.47400000000000003,0.4425,0.5075000000000001
17,17,0.9940000000000001,0.99,1.0,0.473,0.445,0.5075000000000001
18,18,0.9940000000000001,0.99,1.0,0.46900000000000003,0.4375,0.5
19,19,0.9940000000000001,0.99,1.0,0.472,0.445,0.5
20,20,0.9960000000000001,0.99,1.0,0.47400000000000003,0.4475,0.5
21,21,0.9960000000000001,0.99,1.0,0.475,0.4475,0.5
22,22,0.9950000000000001,0.99,1.0,0.47700000000000004,0.4475,0.505
23,23,0.9950000000000001,0.99,1.0,0.47700000000000004,0.445,0.515
24,24,0.9960000000000001,0.99,1.0,0.47800000000000004,0.445,0.5125
25,25,0.9960000000000001,0.99,1.0,0.4760000000000001,0.4425,0.515
26,26,0.9960000000000001,0.99,1.0,0.48,0.46,0.515
27,27,0.9960000000000001,0.99,1.0,0.48,0.4625,0.515
28,28,0.9960000000000001,0.99,1.0,0.47700000000000004,0.455,0.515
29,29,0.9960000000000001,0.99,1.0,0.475,0.455,0.5125
30,30,0.9950000000000001,0.99,1.0,0.476,0.455,0.515
31,31,0.9940000000000001,0.99,1.0,0.473,0.455,0.515
32,32,0.9940000000000001,0.99,1.0,0.472,0.455,0.5225
33,33,0.9940000000000001,0.99,1.0,0.472,0.4475,0.515
34,34,0.9940000000000001,0.99,1.0,0.472,0.455,0.515
35,35,0.9940000000000001,0.99,1.0,0.469,0.445,0.5125
36,36,0.9940000000000001,0.99,1.0,0.4709999999999999,0.4475,0.5125
37,37,0.993,0.99,1.0,0.471,0.4625,0.5125
38,38,0.992,0.99,1.0,0.471,0.46,0.505
39,39,0.992,0.99,1.0,0.471,0.4625,0.4975
40,40,0.993,0.99,1.0,0.4720000000000001,0.47,0.505
41,41,0.993,0.99,1.0,0.47400000000000003,0.47,0.505
42,42,0.994,0.99,1.0,0.4739999999999999,0.47,0.505
43,43,0.9950000000000001,0.99,1.0,0.47400000000000003,0.47,0.4975
44,44,0.9949999999999999,0.99,1.0,0.477,0.47,0.5075000000000001
45,45,0.9950000000000001,0.99,1.0,0.475,0.4625,0.5075000000000001
46,46,0.9940000000000001,0.99,1.0,0.47400000000000003,0.4625,0.5075000000000001
47,47,0.9940000000000001,0.99,1.0,0.473,0.4625,0.505
48,48,0.9940000000000001,0.99,1.0,0.471,0.4625,0.4975
49,49,0.9940000000000001,0.99,1.0,0.47300000000000003,0.47,0.4975
50,50,0.9930000000000001,0.99,1.0,0.47199999999999986,0.47,0.4975
51,51,0.9930000000000001,0.99,1.0,0.4720000000000001,0.4625,0.4975
52,52,0.9940000000000001,0.99,1.0,0.4710000000000001,0.4625,0.49
53,53,0.9950000000000001,0.99,1.0,0.47300000000000003,0.46,0.49
54,54,0.9950000000000001,0.99,1.0,0.47300000000000003,0.46,0.49
55,55,0.9940000000000001,0.99,1.0,0.47300000000000003,0.47,0.4875
56,56,0.9950000000000001,0.99,1.0,0.47300000000000003,0.4725,0.4875
57,57,0.9950000000000001,0.99,1.0,0.47300000000000003,0.4725,0.49
58,58,0.9950000000000001,0.99,1.0,0.47199999999999986,0.4725,0.4875
59,59,0.9950000000000001,0.99,1.0,0.47400000000000003,0.4725,0.49
60,60,0.9940000000000001,0.99,1.0,0.47300000000000003,0.4725,0.4875
61,61,0.9940000000000001,0.99,1.0,0.47300000000000003,0.4725,0.4875
62,62,0.9960000000000001,0.99,1.0,0.476,0.4725,0.4975
63,63,0.9960000000000001,0.99,1.0,0.475,0.465,0.49
64,64,0.9960000000000001,0.99,1.0,0.477,0.465,0.5
65,65,0.9960000000000001,0.99,1.0,0.47800000000000004,0.465,0.5
66,66,0.9960000000000001,0.99,1.0,0.47800000000000004,0.4725,0.5
67,67,0.9950000000000001,0.99,1.0,0.476,0.4725,0.4975
68,68,0.9960000000000001,0.99,1.0,0.475,0.4725,0.4975
69,69,0.9950000000000001,0.99,1.0,0.476,0.4725,0.49
70,70,0.9950000000000001,0.99,1.0,0.47400000000000003,0.47,0.49
71,71,0.9950000000000001,0.99,1.0,0.47300000000000003,0.47,0.49
72,72,0.9950000000000001,0.99,1.0,0.47300000000000003,0.4625,0.49
73,73,0.9940000000000001,0.99,1.0,0.4720000000000001,0.4625,0.49
74,74,0.9940000000000001,0.99,1.0,0.475,0.4725,0.4975
75,75,0.9950000000000001,0.99,1.0,0.475,0.48,0.4975
