Step,Samples,Recall,Recall_25th,Recall_75th,False_Alarm,False_Alarm_25th,False_Alarm_75th
0,0,0.9719999999999999,0.9624999999999999,0.98,0.178,0.16,0.2025
1,1,0.97,0.9624999999999999,0.9775,0.17799999999999996,0.16,0.195
2,2,0.9690000000000001,0.9624999999999999,0.9775,0.177,0.1625,0.19250000000000003
3,3,0.9710000000000001,0.9624999999999999,0.98,0.177,0.1625,0.19
4,4,0.9710000000000001,0.9624999999999999,0.98,0.17099999999999999,0.16,0.1875
5,5,0.97,0.9624999999999999,0.9775,0.16799999999999998,0.1525,0.17750000000000002
6,6,0.9690000000000001,0.96,0.9775,0.16299999999999998,0.15,0.17750000000000002
7,7,0.968,0.96,0.9775,0.16199999999999998,0.15,0.17
8,8,0.9670000000000002,0.96,0.9775,0.16099999999999998,0.15,0.17
9,9,0.967,0.9524999999999999,0.9775,0.158,0.15,0.17
10,10,0.9639999999999999,0.95,0.9775,0.15699999999999997,0.15,0.17
11,11,0.9650000000000001,0.9524999999999999,0.9775,0.15199999999999997,0.15,0.165
12,12,0.9660000000000002,0.96,0.97,0.15099999999999997,0.14250000000000002,0.16
13,13,0.967,0.9624999999999999,0.97,0.153,0.15,0.16
14,14,0.962,0.9524999999999999,0.97,0.151,0.15,0.16
15,15,0.9599999999999997,0.95,0.97,0.14799999999999996,0.14250000000000002,0.1575
16,16,0.961,0.9524999999999999,0.97,0.14600000000000002,0.14,0.1575
17,17,0.9630000000000001,0.9524999999999999,0.97,0.146,0.14,0.15
18,18,0.962,0.96,0.97,0.144,0.14,0.15
19,19,0.962,0.9524999999999999,0.97,0.13999999999999999,0.1325,0.15
20,20,0.962,0.9524999999999999,0.97,0.141,0.1325,0.15
21,21,0.962,0.9524999999999999,0.97,0.13999999999999999,0.13,0.15
22,22,0.961,0.9524999999999999,0.97,0.13899999999999998,0.1325,0.1475
23,23,0.9639999999999999,0.96,0.97,0.13899999999999998,0.1325,0.1475
24,24,0.9650000000000001,0.96,0.97,0.13999999999999999,0.1325,0.1475
25,25,0.9639999999999999,0.96,0.97,0.13899999999999998,0.13,0.1475
26,26,0.9630000000000001,0.96,0.97,0.13699999999999998,0.13,0.14
27,27,0.9640000000000001,0.96,0.97,0.13699999999999998,0.1325,0.14
28,28,0.9640000000000001,0.96,0.97,0.13799999999999998,0.1325,0.1475
29,29,0.9640000000000001,0.96,0.97,0.13799999999999998,0.1325,0.1475
30,30,0.9629999999999999,0.96,0.97,0.13499999999999998,0.13,0.14
31,31,0.9630000000000001,0.96,0.9675,0.133,0.13,0.14
32,32,0.962,0.96,0.9675,0.134,0.13,0.14
33,33,0.9640000000000001,0.96,0.97,0.12899999999999998,0.12,0.1375
34,34,0.9629999999999999,0.96,0.97,0.12899999999999998,0.12,0.1375
35,35,0.9629999999999999,0.9524999999999999,0.97,0.12899999999999998,0.12,0.1375
36,36,0.9630000000000001,0.96,0.97,0.128,0.12,0.13
37,37,0.9650000000000001,0.96,0.97,0.12699999999999997,0.12,0.13
38,38,0.9650000000000001,0.96,0.97,0.128,0.12,0.13
39,39,0.9640000000000001,0.96,0.97,0.12899999999999998,0.1225,0.13
40,40,0.961,0.96,0.9675,0.12699999999999997,0.12,0.13
41,41,0.9630000000000001,0.96,0.97,0.12499999999999997,0.1125,0.13
42,42,0.962,0.96,0.97,0.12499999999999997,0.1125,0.13
43,43,0.9630000000000001,0.96,0.97,0.124,0.12,0.13
44,44,0.962,0.96,0.97,0.12299999999999997,0.1125,0.13
45,45,0.9629999999999999,0.96,0.97,0.12299999999999997,0.1125,0.13
46,46,0.96,0.96,0.9675,0.12199999999999997,0.1125,0.13
47,47,0.961,0.96,0.97,0.121,0.1125,0.1275
48,48,0.959,0.9524999999999999,0.9675,0.12299999999999997,0.1125,0.13
49,49,0.959,0.9524999999999999,0.9675,0.121,0.12,0.1275
50,50,0.961,0.9524999999999999,0.9675,0.122,0.12,0.1275
51,51,0.961,0.9524999999999999,0.9675,0.12,0.12,0.12
52,52,0.9629999999999999,0.96,0.9675,0.12099999999999997,0.12,0.12
53,53,0.962,0.9524999999999999,0.9675,0.12099999999999997,0.12,0.12
54,54,0.961,0.9524999999999999,0.96,0.12,0.12,0.12
55,55,0.962,0.96,0.9675,0.12099999999999997,0.12,0.12
56,56,0.962,0.96,0.9675,0.12099999999999997,0.12,0.12
57,57,0.9629999999999999,0.96,0.9675,0.122,0.12,0.12
58,58,0.962,0.96,0.9675,0.122,0.12,0.12
59,59,0.96,0.9524999999999999,0.96,0.122,0.12,0.12
60,60,0.961,0.96,0.96,0.12099999999999997,0.12,0.12
61,61,0.961,0.96,0.96,0.12099999999999997,0.12,0.12
62,62,0.96,0.96,0.96,0.122,0.12,0.12
63,63,0.961,0.96,0.96,0.122,0.12,0.12
64,64,0.959,0.9524999999999999,0.96,0.11999999999999997,0.12,0.12
65,65,0.958,0.9524999999999999,0.96,0.121,0.12,0.12
66,66,0.958,0.9524999999999999,0.96,0.121,0.12,0.12
67,67,0.959,0.9524999999999999,0.96,0.118,0.11,0.12
68,68,0.959,0.9524999999999999,0.96,0.11699999999999999,0.11,0.12
69,69,0.958,0.9524999999999999,0.96,0.11600000000000002,0.11,0.12
70,70,0.958,0.95,0.96,0.11699999999999999,0.11,0.12
71,71,0.959,0.9524999999999999,0.96,0.11600000000000002,0.11,0.12
72,72,0.9570000000000001,0.95,0.96,0.11600000000000002,0.11,0.12
73,73,0.9570000000000001,0.95,0.96,0.11699999999999999,0.11,0.12
74,74,0.958,0.95,0.96,0.11499999999999999,0.11,0.12
75,75,0.958,0.95,0.96,0.11399999999999999,0.11,0.12
76,76,0.9570000000000001,0.95,0.96,0.11299999999999999,0.10250000000000001,0.12
77,77,0.958,0.9524999999999999,0.96,0.11299999999999999,0.10250000000000001,0.12
78,78,0.958,0.95,0.9675,0.11399999999999999,0.10250000000000001,0.12
79,79,0.958,0.95,0.9675,0.11399999999999999,0.10250000000000001,0.12
80,80,0.9570000000000001,0.95,0.9675,0.11399999999999999,0.10250000000000001,0.12
81,81,0.958,0.95,0.9675,0.11399999999999999,0.10250000000000001,0.12
82,82,0.958,0.95,0.9675,0.11399999999999999,0.10250000000000001,0.12
83,83,0.96,0.9524999999999999,0.97,0.11299999999999999,0.10250000000000001,0.12
84,84,0.96,0.9524999999999999,0.97,0.11200000000000002,0.10250000000000001,0.12
85,85,0.96,0.9524999999999999,0.97,0.11200000000000002,0.10250000000000001,0.12
86,86,0.96,0.9524999999999999,0.97,0.11200000000000002,0.10250000000000001,0.12
87,87,0.96,0.9524999999999999,0.97,0.11200000000000002,0.10250000000000001,0.12
88,88,0.96,0.9524999999999999,0.97,0.11200000000000002,0.10250000000000001,0.12
89,89,0.96,0.9524999999999999,0.97,0.11299999999999999,0.10250000000000001,0.12
90,90,0.959,0.9524999999999999,0.97,0.11299999999999999,0.10250000000000001,0.12
91,91,0.959,0.9524999999999999,0.97,0.11200000000000002,0.10250000000000001,0.12
92,92,0.959,0.95,0.97,0.11200000000000002,0.10250000000000001,0.12
93,93,0.958,0.95,0.97,0.11099999999999999,0.10250000000000001,0.12
